boutique	bc_product_id	slug	fichier	titre	url_source
filtrationmontreal	66	filtre-fournaise-15x20x2-camfil	bc66--filtre-fournaise-15x20x2-camfil.jpg	Filtre Fournaise 15x20x2 Merv 8. Boite de 12 Filtres	https://cdn11.bigcommerce.com/s-r4k2e4q/products/66/images/157/ap-3__33498.1474236782.1280.1280__80850.1352507312.500.659.jpg?c=2
filtrationmontreal	67	filtre-fournaise-20x24x2-camfil	bc67--filtre-fournaise-20x24x2-camfil.jpg	Filtre Fournaise 20x24x2 Merv 8. Boite de 12 Filtres	https://cdn11.bigcommerce.com/s-r4k2e4q/products/67/images/158/ap-3__33498.1474236782.1280.1280__77313.1352507486.500.659.jpg?c=2
filtrationmontreal	69	16x16x2-filtre-fournaise-camfil	bc69--16x16x2-filtre-fournaise-camfil.jpg	Filtre Fournaise 16x16x2 Merv 8. Boite de 12 Filtres	https://cdn11.bigcommerce.com/s-r4k2e4q/products/69/images/160/ap-3__33498.1474236782.1280.1280__82006.1352507757.500.659.jpg?c=2
filtrationmontreal	70	filtre-fournaise-18x20x2-camfil	bc70--filtre-fournaise-18x20x2-camfil.jpg	Filtre Fournaise 18x20x2 Merv 8. Boite de 12 Filtres	https://cdn11.bigcommerce.com/s-r4k2e4q/products/70/images/161/ap-3__33498.1474236782.1280.1280__82961.1352507898.500.659.jpg?c=2
filtrationmontreal	71	filtre-fournaise-18x24x2-camfil	bc71--filtre-fournaise-18x24x2-camfil.jpg	Filtre Fournaise 18x24x2 Merv 8. Boite de 12 Filtres	https://cdn11.bigcommerce.com/s-r4k2e4q/products/71/images/703/ap-3__33498.1474236782.1280.1280__75749.1474989764.500.659.jpg?c=2
filtrationmontreal	72	filtre-fournaise-15x25x2-camfil	bc72--filtre-fournaise-15x25x2-camfil.jpg	Filtre Fournaise 15x25x2 Merv 8. Boite de 12 Filtres	https://cdn11.bigcommerce.com/s-r4k2e4q/products/72/images/163/ap-3__33498.1474236782.1280.1280__01332.1352509494.500.659.jpg?c=2
filtrationmontreal	73	filtre-fournaise-16x24x2-camfil	bc73--filtre-fournaise-16x24x2-camfil.jpg	Filtre Fournaise 16x24x2 Merv 8. Boite de 12 Filtres	https://cdn11.bigcommerce.com/s-r4k2e4q/products/73/images/164/ap-3__33498.1474236782.1280.1280__57831.1352509619.500.659.jpg?c=2
filtrationmontreal	74	filtre-fournaise-20x30x2-camfil	bc74--filtre-fournaise-20x30x2-camfil.jpg	Filtre Fournaise 20x30x2 Merv 8. Boite de 12 Filtres	https://cdn11.bigcommerce.com/s-r4k2e4q/products/74/images/165/ap-3__33498.1474236782.1280.1280__99780.1352509735.500.659.jpg?c=2
filtrationmontreal	75	filtre-fournaise-25x25x2-camfil	bc75--filtre-fournaise-25x25x2-camfil.jpg	Filtre Fournaise 25x25x2 Merv 8. Boite de 12 Filtres	https://cdn11.bigcommerce.com/s-r4k2e4q/products/75/images/166/ap-3__33498.1474236782.1280.1280__63836.1352509959.500.659.jpg?c=2
filtrationmontreal	81	filtre-fournaise-12x24x4-camfil	bc81--filtre-fournaise-12x24x4-camfil.jpg	Filtre Fournaise 12x24x4 Merv 8. Boite de 6 Filtres	https://cdn11.bigcommerce.com/s-r4k2e4q/products/81/images/172/ap-3__33498.1474236782.1280.1280__43713.1352511170.500.659.jpg?c=2
